studentId,name,email,password,departmentId,academicYear,admissionYear,gender,phone
CS26-001,CS Student 1,cs.student1@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-002,CS Student 2,cs.student2@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-003,CS Student 3,cs.student3@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-004,CS Student 4,cs.student4@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-005,CS Student 5,cs.student5@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-006,CS Student 6,cs.student6@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-007,CS Student 7,cs.student7@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-008,CS Student 8,cs.student8@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-009,CS Student 9,cs.student9@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-010,CS Student 10,cs.student10@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-011,CS Student 11,cs.student11@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-012,CS Student 12,cs.student12@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-013,CS Student 13,cs.student13@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-014,CS Student 14,cs.student14@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-015,CS Student 15,cs.student15@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-016,CS Student 16,cs.student16@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-017,CS Student 17,cs.student17@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-018,CS Student 18,cs.student18@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-019,CS Student 19,cs.student19@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-020,CS Student 20,cs.student20@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-021,CS Student 21,cs.student21@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-022,CS Student 22,cs.student22@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-023,CS Student 23,cs.student23@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-024,CS Student 24,cs.student24@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-025,CS Student 25,cs.student25@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-026,CS Student 26,cs.student26@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-027,CS Student 27,cs.student27@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-028,CS Student 28,cs.student28@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-029,CS Student 29,cs.student29@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-030,CS Student 30,cs.student30@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-031,CS Student 31,cs.student31@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-032,CS Student 32,cs.student32@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-033,CS Student 33,cs.student33@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-034,CS Student 34,cs.student34@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-035,CS Student 35,cs.student35@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-036,CS Student 36,cs.student36@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-037,CS Student 37,cs.student37@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-038,CS Student 38,cs.student38@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-039,CS Student 39,cs.student39@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-040,CS Student 40,cs.student40@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-041,CS Student 41,cs.student41@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-042,CS Student 42,cs.student42@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-043,CS Student 43,cs.student43@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-044,CS Student 44,cs.student44@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-045,CS Student 45,cs.student45@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-046,CS Student 46,cs.student46@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-047,CS Student 47,cs.student47@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-048,CS Student 48,cs.student48@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
CS26-049,CS Student 49,cs.student49@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
CS26-050,CS Student 50,cs.student50@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-001,IT Student 1,it.student1@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-002,IT Student 2,it.student2@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-003,IT Student 3,it.student3@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-004,IT Student 4,it.student4@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-005,IT Student 5,it.student5@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-006,IT Student 6,it.student6@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-007,IT Student 7,it.student7@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-008,IT Student 8,it.student8@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-009,IT Student 9,it.student9@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-010,IT Student 10,it.student10@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-011,IT Student 11,it.student11@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-012,IT Student 12,it.student12@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-013,IT Student 13,it.student13@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-014,IT Student 14,it.student14@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-015,IT Student 15,it.student15@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-016,IT Student 16,it.student16@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-017,IT Student 17,it.student17@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-018,IT Student 18,it.student18@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-019,IT Student 19,it.student19@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-020,IT Student 20,it.student20@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-021,IT Student 21,it.student21@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-022,IT Student 22,it.student22@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-023,IT Student 23,it.student23@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-024,IT Student 24,it.student24@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-025,IT Student 25,it.student25@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-026,IT Student 26,it.student26@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-027,IT Student 27,it.student27@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-028,IT Student 28,it.student28@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-029,IT Student 29,it.student29@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-030,IT Student 30,it.student30@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-031,IT Student 31,it.student31@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-032,IT Student 32,it.student32@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-033,IT Student 33,it.student33@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-034,IT Student 34,it.student34@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-035,IT Student 35,it.student35@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
